amount,claims,age,policy_years,fraud
98426,5,47,9,1
46302,0,70,18,0
14357,5,59,12,0
84688,5,61,20,1
69420,1,45,5,0
15785,1,32,20,0
52495,4,48,1,1
42834,4,69,15,0
73829,1,59,3,0
15538,4,54,13,0
32047,2,34,1,0
86983,5,61,14,1
31869,2,58,15,0
51004,4,27,9,1
35299,3,68,10,0
88958,7,38,12,1
98694,1,23,16,0
30645,9,27,8,0
61333,4,25,20,1
87334,2,19,15,0
81880,3,63,6,0
76499,8,53,7,1
23058,7,20,10,0
84130,6,59,7,1
86267,6,34,12,1
72016,0,30,19,0
88446,1,48,5,0
1749,4,70,3,0
99305,0,24,14,0
80107,2,70,17,0
76279,5,27,3,1
38863,10,36,2,0
28801,0,63,12,0
73928,8,44,7,1
11134,4,29,5,0
64235,8,43,12,1
42535,1,44,18,0
10874,8,43,14,0
72452,5,39,12,1
70937,10,63,11,1
56728,2,54,1,0
8341,1,61,18,0
2076,1,69,15,0
11072,8,47,5,0
72778,1,25,7,0
47781,1,69,8,0
47304,10,28,16,0
50725,6,36,15,1
98683,6,43,9,1
18496,2,29,4,0
26410,8,31,1,0
43477,5,68,17,0
53019,9,53,2,1
28445,3,27,5,0
29339,7,52,13,0
42284,10,32,18,0
57316,10,61,5,1
56471,0,59,5,0
72525,4,69,19,1
14335,9,36,11,0
62488,4,56,12,1
56883,1,42,19,0
10642,5,45,17,0
34270,9,42,3,0
65170,4,35,18,1
1044,8,49,18,0
90997,3,32,18,0
87776,0,29,4,0
63911,1,23,11,0
52819,3,54,11,0
92524,5,20,16,1
10474,6,19,5,0
55440,6,69,16,1
41702,7,38,19,0
26171,1,44,5,0
50338,10,52,10,1
76485,1,33,10,0
54077,8,63,9,1
59632,1,52,12,0
60009,1,18,16,0
59305,1,42,7,0
62069,1,52,13,0
83499,9,20,7,1
96034,5,43,10,1
41889,7,27,18,0
46351,5,54,10,0
42498,0,35,19,0
40428,9,32,7,0
4007,6,22,20,0
20851,4,42,18,0
34493,9,18,19,0
17528,0,23,1,0
1925,8,58,2,0
49658,2,52,2,0
34544,2,34,7,0
82341,2,36,15,0
1809,10,51,19,0
72359,7,70,8,1
61986,1,64,1,0
41707,5,57,2,0
31557,1,38,12,0
76478,6,40,8,1
33138,6,57,5,0
45956,4,53,3,0
37507,5,55,14,0
79488,8,53,19,1
34377,5,23,13,0
71912,2,40,10,0
58148,10,63,11,1
70768,7,49,5,1
62804,6,69,14,1
99335,4,50,9,1
65803,7,53,4,1
56281,10,64,7,1
53928,8,42,4,1
95965,4,39,8,1
79309,9,47,14,1
78120,2,63,16,0
49786,0,19,9,0
61544,2,46,18,0
97426,4,43,11,1
77006,3,66,1,0
91458,8,50,8,1
77467,10,66,17,1
68792,8,54,9,1
36274,1,59,14,0
88679,3,52,20,0
58627,5,55,5,1
66807,8,68,10,1
8875,7,37,19,0
31382,1,35,2,0
33364,7,20,17,0
67498,3,20,9,0
50360,8,52,10,1
60830,1,53,8,0
22710,10,63,1,0
67934,10,21,5,1
40662,6,69,10,0
71884,7,58,12,1
49442,6,66,17,0
39464,5,35,8,0
90194,6,58,1,1
39416,3,56,2,0
72042,5,21,15,1
90175,6,68,11,1
20881,6,67,19,0
7740,8,42,16,0
49826,3,18,3,0
83485,5,57,20,1
87219,9,59,3,1
82229,3,19,6,0
72224,4,69,3,1
64785,6,70,2,1
31026,5,42,10,0
66395,7,42,3,1
66191,10,47,7,1
47961,4,69,5,0
78705,9,45,1,1
67648,9,64,2,1
20050,7,19,11,0
21792,1,40,14,0
71979,3,18,20,0
32220,8,68,15,0
15508,0,43,20,0
95125,6,32,16,1
62661,2,57,16,0
36988,9,38,8,0
8445,2,48,9,0
95598,9,43,14,1
67729,0,66,5,0
70274,1,34,1,0
46403,9,40,11,0
88230,0,32,15,0
11834,9,69,12,0
92151,6,32,2,1
78904,4,57,12,1
14943,4,62,4,0
30633,2,23,2,0
45439,1,64,12,0
17863,9,65,10,0
98396,6,42,15,1
94664,10,47,6,1
72046,3,44,8,0
90096,5,47,5,1
71004,4,52,11,1
92316,6,35,1,1
61060,5,64,4,1
90872,4,59,6,1
67531,1,42,16,0
65040,6,18,14,1
92757,7,35,18,1
51811,1,55,1,0
30279,2,39,3,0
76153,2,60,8,0
61156,10,69,8,1
65126,0,19,8,0
45091,8,20,3,0
81220,10,29,14,1
57858,4,45,4,1
26379,1,26,12,0
36387,8,62,15,0
74577,8,52,9,1
10639,10,37,14,0
33192,4,45,7,0
99005,5,60,3,1
21353,7,44,17,0
43497,6,37,20,0
72920,0,39,5,0
58597,6,47,3,1
47017,3,51,1,0
9695,1,38,16,0
80800,9,54,11,1
54340,0,54,2,0
71541,0,66,9,0
62200,0,44,18,0
62796,4,39,6,1
22870,6,19,19,0
96809,2,28,15,0
48779,10,63,17,0
87438,4,45,14,1
94783,6,52,1,1
35861,0,70,17,0
15302,6,41,18,0
12141,10,68,16,0
96194,0,39,2,0
38691,7,29,12,0
82775,9,68,16,1
70123,7,47,12,1
45128,5,56,5,0
47667,6,54,16,0
30219,7,26,15,0
53474,4,41,17,1
84631,5,26,5,1
84498,4,45,3,1
88720,8,51,11,1
45133,8,27,13,0
91842,8,68,10,1
74865,3,27,16,0
41551,10,54,10,0
28934,0,23,9,0
96185,5,40,13,1
45770,8,31,5,0
41690,1,52,5,0
37103,10,47,7,0
27593,5,32,17,0
8728,5,39,2,0
19775,1,24,8,0
63210,5,23,19,1
10099,8,34,17,0
76700,6,40,10,1
63856,10,63,4,1
68691,4,58,9,1
75298,3,66,19,0
20577,1,20,19,0
76611,0,63,19,0
73048,8,68,13,1
34722,0,28,5,0
5610,7,47,19,0
60317,7,20,19,1
97265,9,59,18,1
55125,1,39,6,0
90357,9,56,17,1
35917,0,25,8,0
10347,6,37,10,0
24864,2,68,3,0
96612,9,56,1,1
66786,7,62,1,1
27305,1,33,14,0
22882,10,41,20,0
93694,10,47,18,1
74683,10,59,14,1
27209,10,41,16,0
23996,0,33,20,0
77809,5,43,2,1
35522,6,59,14,0
70787,5,21,20,1
69150,1,34,10,0
7360,8,62,11,0
54317,3,52,10,0
23046,7,56,20,0
51433,6,41,9,1
9332,9,36,9,0
34007,10,70,19,0
29045,7,60,19,0
33908,0,64,14,0
1516,6,68,1,0
12420,4,19,17,0
79644,1,69,18,0
93798,5,27,5,1
99312,5,34,16,1
3679,3,58,16,0
49560,5,28,14,0
21253,2,61,2,0
40366,5,69,6,0
78737,1,65,19,0
19719,0,29,11,0
42251,2,55,3,0
23815,1,37,17,0
50487,5,38,16,1
20681,9,63,6,0
49428,5,55,19,0
21063,1,51,1,0
75235,8,26,4,1
69147,9,24,4,1
98770,0,59,10,0
39243,9,27,20,0
37306,0,68,5,0
61056,6,50,1,1
42344,6,35,9,0
24670,5,34,20,0
80896,6,33,15,1
40140,9,41,6,0
88804,9,20,12,1
18193,10,32,18,0
96185,0,34,2,0
9262,6,22,9,0
64845,2,56,8,0
43894,10,44,4,0
74429,0,70,2,0
72290,1,43,1,0
47075,9,23,15,0
73117,6,43,5,1
45788,1,35,9,0
38686,0,28,20,0
13904,3,19,2,0
3553,4,64,14,0
1357,10,62,7,0
49986,8,64,3,0
35672,5,69,18,0
68347,8,69,18,1
6389,6,35,10,0
76802,9,43,19,1
33876,6,48,17,0
31183,2,48,15,0
54337,6,62,1,1
76157,9,26,19,1
15534,6,24,2,0
80245,9,25,15,1
57469,5,33,3,1
70739,8,34,3,1
97381,3,70,10,0
20099,4,47,8,0
84319,1,64,4,0
71109,1,54,13,0
3156,9,36,2,0
38956,8,45,3,0
98899,6,18,3,1
99296,6,63,20,1
39807,3,23,5,0
18179,10,56,4,0
26980,7,49,10,0
90501,4,70,11,1
9468,10,58,14,0
50695,3,37,19,0
88899,7,28,17,1
13217,0,25,19,0
44456,7,63,5,0
89221,8,38,14,1
36913,2,68,17,0
88647,8,19,3,1
70489,7,61,10,1
46972,8,49,15,0
89009,6,27,17,1
29621,8,57,2,0
43621,10,34,17,0
45724,3,64,15,0
97630,5,60,14,1
30069,3,50,20,0
53001,3,40,17,0
72287,10,24,13,1
45317,8,52,10,0
69217,0,30,18,0
30561,7,20,3,0
44032,7,26,8,0
45338,1,42,14,0
16992,9,63,17,0
44088,2,27,1,0
9801,7,24,10,0
45631,5,61,19,0
87886,10,58,15,1
93774,1,25,14,0
52541,7,53,3,1
6372,0,60,12,0
40511,5,30,10,0
17892,2,35,14,0
84658,1,40,17,0
29173,0,33,6,0
80049,7,36,3,1
60438,9,66,7,1
14762,5,34,7,0
44444,10,26,13,0
37910,6,61,5,0
24111,10,18,1,0
56864,3,54,18,0
6042,6,31,19,0
98723,0,38,1,0
4556,6,61,2,0
46764,6,60,9,0
20840,4,50,9,0
18000,1,48,16,0
45953,5,35,2,0
57680,6,33,10,1
22442,5,54,9,0
22044,7,57,16,0
19737,6,56,10,0
3551,0,67,9,0
37207,0,44,20,0
6352,10,38,11,0
69045,6,67,6,1
35800,2,64,10,0
22885,5,20,18,0
50617,10,69,12,1
43170,7,63,5,0
89478,4,49,19,1
82816,4,28,8,1
75011,2,65,1,0
60243,3,48,2,0
94274,3,33,2,0
12088,6,37,17,0
8582,5,19,5,0
20400,7,59,12,0
89467,9,63,7,1
73433,4,29,15,1
78628,2,23,15,0
81102,9,59,1,1
32537,1,34,4,0
13041,9,47,5,0
47550,3,29,8,0
68442,9,66,4,1
49997,3,53,10,0
56628,10,39,14,1
13486,10,20,12,0
35610,3,32,18,0
30292,10,65,6,0
77644,1,25,5,0
36284,2,29,20,0
71001,7,26,12,1
72882,3,41,15,0
59590,9,55,13,1
82732,6,24,6,1
34141,4,34,19,0
5397,3,23,18,0
46118,10,21,13,0
89724,2,25,7,0
35017,8,20,6,0
28755,4,30,4,0
96818,3,46,12,0
64966,0,55,5,0
43759,8,47,9,0
80883,6,57,4,1
68391,5,61,13,1
46674,1,38,14,0
3067,3,37,18,0
24243,2,20,4,0
22767,4,35,20,0
36526,9,62,5,0
8080,6,49,13,0
77797,5,22,16,1
81060,8,35,19,1
82403,4,22,5,1
1378,10,44,9,0
83615,2,67,14,0
34048,10,38,9,0
99098,2,48,2,0
19555,3,31,3,0
10457,0,53,14,0
28181,3,22,19,0
83440,1,50,15,0
84387,6,40,5,1
17964,6,28,4,0
99295,9,29,16,1
75497,4,68,9,1
53799,8,70,10,1
40459,8,22,19,0
60050,9,37,16,1
57708,8,46,14,1
72586,0,38,1,0
16523,10,27,12,0
66848,1,70,6,0
82991,6,18,19,1
4321,7,57,9,0
23714,9,23,18,0
46225,1,20,9,0
14743,0,50,7,0
10568,3,40,2,0
62552,3,24,11,0
81966,0,70,13,0
51982,4,46,14,1
70192,6,18,19,1
61563,3,60,10,0
60440,9,41,17,1
69539,9,51,14,1
60460,6,60,3,1
25108,8,41,7,0
39105,9,64,6,0
8398,2,26,3,0
60731,9,24,19,1
24369,8,49,13,0
74607,3,33,1,0
54780,4,29,8,1
2225,9,61,15,0
85483,2,36,2,0
39458,1,25,9,0
48581,0,67,15,0
24220,0,48,1,0
26732,10,55,18,0
50650,3,69,4,0
74264,3,24,19,0
58036,9,63,18,1
76429,0,25,11,0
19088,2,29,10,0
5056,1,53,15,0
6292,4,69,2,0
65821,3,43,15,0
7083,0,47,20,0
53393,5,66,3,1
75514,6,67,12,1
41128,7,36,12,0
74485,8,46,3,1
91261,9,21,7,1
55770,10,33,18,1
51914,10,64,9,1
82515,5,26,4,1
68298,10,43,3,1
11901,10,32,13,0
97412,5,50,17,1
42375,9,45,8,0
1717,0,31,19,0
24145,0,66,4,0
26596,3,70,5,0
38134,9,52,9,0
39039,8,48,11,0
51826,0,24,1,0
17882,2,49,10,0
7740,7,26,10,0
69963,3,46,18,0
86148,1,62,15,0
26648,1,48,4,0
9165,6,70,13,0
2694,5,36,11,0
21784,7,59,13,0
89864,2,61,17,0
58330,9,19,10,1
78140,1,40,12,0
49214,9,44,6,0
91810,6,68,20,1
6988,5,29,17,0
12282,6,30,7,0
97447,8,40,19,1
27740,10,23,3,0
71405,5,48,19,1
43059,4,44,19,0
27867,8,56,18,0
37516,9,46,11,0
35253,8,60,12,0
52132,8,43,19,1
63028,9,34,12,1
70827,5,46,10,1
23911,7,21,18,0
26742,3,20,20,0
42906,8,69,16,0
33721,9,41,14,0
11896,10,53,4,0
88417,6,34,17,1
23032,8,45,10,0
76374,3,21,7,0
54678,5,33,6,1
39789,7,51,12,0
21412,6,60,6,0
83082,2,45,3,0
89912,0,47,19,0
32301,0,25,20,0
65998,4,42,18,1
48679,7,45,1,0
46186,8,29,16,0
99681,4,41,16,1
32009,4,43,18,0
54999,7,47,4,1
71700,2,48,12,0
86019,8,37,7,1
26047,10,29,18,0
3653,3,43,2,0
69201,6,19,4,1
49231,10,50,11,0
26833,10,67,15,0
68257,2,62,19,0
2878,9,37,6,0
1343,2,24,16,0
61651,5,23,20,1
51967,4,48,5,1
68854,4,54,8,1
24435,9,19,8,0
